S. No,PlanPlatform,TypeofPlan,PlanEffDate,PlanTermDate,Benefits,City,State,Members,Claims
57,Medicare,HMO Medical,5/31/2019,12/31/2017,clinical,Avon,PA,65,42
58,Traditional,POS,1/1/2017,12/31/9999,Pharmacy,AA,CT,12,70
59,Medicare,PPO,7/1/2019,12/31/9999,Pharmacy,AA,CT,150,70
60,Medicare,HMO Medical,5/31/2019,6/30/2019,clinical,AA,PA,85,45
61,HMO,HMO Commercial,1/1/2018,12/31/9999,Dental,ZZ,TX,47,42
62,HMO,HMO Medical,7/1/2019,12/31/9999,Dental,XX,Ohio,83,31
63,Medicare,Medicaid,6/15/2017,12/31/9999,Pharmacy,YY,PA,32,8
64,Medicaid,HNO,1/1/2018,6/30/2019,clinical,Avon,TX,83,120
65,Medicaid,EPOs,1/31/2017,12/31/9999,clinical,Avon,Ohio,86,45
66,Traditional,Medicare Part B,5/31/2019,12/31/9999,Pharmacy,AA,Ohio,65,85
67,Medicare,Medicare Advantage / Part C,7/1/2019,5/31/2019,Pharmacy,YY,Ohio,83,31
68,Medicare,HMO Commercial,5/31/2019,12/31/2017,Pharmacy,Avon,PA,83,45
69,Traditional,HMO Medical,1/1/2017,5/30/2019,clinical,YY,Ohio,52,45
70,Traditional,POS,5/31/2019,5/31/2019,Pharmacy,Avon,PA,65,45
71,Traditional,HMO Medical,7/1/2019,12/31/9999,Dental,YY,PA,52,16
72,HMO,HNO,7/1/2019,1/31/2019,Pharmacy,AA,Ohio,65,70
73,Medicare,HMO Medical,7/1/2019,12/31/9999,clinical,AA,TX,32,16
74,Medicare,Medicare Advantage / Part C,5/31/2019,12/31/9999,Dental,AA,Ohio,32,42
75,Medicare,EPOs,1/1/2017,5/31/2019,Pharmacy,XX,CT,65,70
76,Medicare,HMO Commercial,1/1/2018,5/31/2019,Pharmacy,Avon,CT,86,16
77,Traditional,Medicare Part D,7/1/2019,12/31/9999,Pharmacy,Avon,TX,86,8
78,Medicare,HMO Commercial,6/15/2017,6/30/2019,clinical,AA,Ohio,85,8
79,Medicare,PPO,5/31/2019,12/31/9999,Dental,ZZ,Ohio,86,70
80,Traditional,Medicare Part D,1/1/2017,12/31/9999,Pharmacy,Avon,Ohio,65,70
81,Medicare,POS,1/31/2017,5/30/2019,Dental,Avon,CT,52,70
82,Traditional,PPO,5/31/2019,12/31/2017,clinical,Avon,Ohio,83,31
83,Medicaid,Medicare Advantage / Part C,5/31/2019,12/31/9999,Pharmacy,ZZ,TX,52,42
84,Traditional,HMO Commercial,1/1/2017,12/31/9999,Pharmacy,YY,PA,32,31
85,Medicare,EPOs,6/15/2017,12/31/9999,Dental,YY,TX,47,16
86,Traditional,Medicare Advantage / Part C,1/1/2018,5/31/2019,Pharmacy,Avon,Ohio,83,120
87,Medicaid,EPOs,5/31/2019,12/31/9999,Dental,AA,CT,65,16
88,HMO,HMO Commercial,5/31/2019,5/31/2019,Pharmacy,Avon,PA,85,85
89,HMO,Medicare Part A,5/31/2019,5/31/2019,Pharmacy,ZZ,PA,65,70
90,Medicaid,EPOs,1/31/2017,12/31/2017,clinical,AA,CT,83,31
91,Medicaid,EPOs,1/1/2018,12/31/2017,Pharmacy,YY,Ohio,12,42
92,Traditional,EPOs,6/15/2017,6/30/2019,Dental,AA,CT,150,52
93,HMO,Medicare Part D,5/31/2019,12/31/9999,Pharmacy,AA,Ohio,83,8
94,HMO,Medicare Part B,1/31/2017,6/30/2019,Pharmacy,AA,PA,150,16
95,HMO,Medicare Part D,1/1/2017,5/30/2019,Dental,AA,Ohio,86,31
96,HMO,POS,7/1/2019,12/31/2017,Pharmacy,AA,PA,32,52
97,Traditional,Medicare Advantage / Part C,5/31/2019,5/31/2019,Pharmacy,Avon,Ohio,85,45
98,Medicare,HMO Medical,1/1/2017,12/31/9999,Pharmacy,YY,CT,32,31
99,Traditional,Medicare Advantage / Part C,7/1/2019,5/30/2019,Pharmacy,YY,PA,65,85
100,Medicare,HNO,6/15/2017,12/31/9999,Pharmacy,Avon,PA,52,16
101,Traditional,Medicare Part D,5/31/2019,12/31/9999,Dental,AA,CT,52,42
102,Medicare,Medicaid,6/15/2017,6/30/2019,Dental,YY,PA,86,52
103,Medicare,Medicaid,1/31/2017,12/31/9999,Pharmacy,ZZ,Ohio,12,70
104,Medicare,HMO Commercial,5/31/2019,5/31/2019,Pharmacy,AA,CT,12,42
105,Medicare,Medicare Part A,1/31/2017,5/31/2019,clinical,XX,CT,32,70
106,Medicaid,HMO Commercial,5/31/2019,12/31/9999,clinical,Avon,TX,150,52
107,Traditional,POS,1/1/2017,12/31/9999,Pharmacy,YY,Ohio,150,45
108,HMO,Medicare Part B,7/1/2019,6/30/2019,Dental,AA,Ohio,32,70
109,Traditional,EPOs,5/31/2019,6/30/2019,Pharmacy,YY,PA,85,52
110,Medicare,Medicare Part A,1/1/2017,5/31/2019,Dental,XX,Ohio,85,52
111,Traditional,HMO Medical,7/1/2019,5/31/2019,Pharmacy,AA,PA,150,45
112,Medicare,Medicaid,1/31/2017,12/31/9999,Pharmacy,Avon,Ohio,86,16
113,HMO,HNO,1/1/2017,12/31/9999,clinical,Avon,Ohio,83,120
114,Traditional,Medicare Part A,5/31/2019,1/31/2019,clinical,Avon,Ohio,32,16
115,Medicare,Medicaid,1/31/2017,5/31/2019,Dental,YY,Ohio,83,70
116,Medicare,Medicare Advantage / Part C,1/31/2017,12/31/9999,clinical,YY,CT,32,70
117,Medicare,HMO Commercial,1/1/2018,1/31/2019,Pharmacy,Avon,PA,150,16
118,HMO,EPOs,5/31/2019,12/31/9999,Dental,AA,CT,47,31
119,Medicare,Medicare Part D,6/15/2017,12/31/9999,Pharmacy,Avon,Ohio,65,52
120,Medicare,Medicare Part A,1/1/2017,12/31/9999,clinical,AA,Ohio,83,31
121,HMO,Medicare Part D,5/31/2019,12/31/9999,Pharmacy,AA,CT,65,85
122,HMO,Medicaid,1/1/2017,1/31/2019,Pharmacy,AA,PA,65,45
123,Medicare,Medicare Part B,7/1/2019,12/31/9999,Dental,Avon,PA,65,16
124,Traditional,HNO,7/1/2019,12/31/2017,Pharmacy,Avon,PA,32,31
125,HMO,EPOs,5/31/2019,5/31/2019,clinical,YY,TX,83,16
126,Traditional,HNO,5/31/2019,12/31/9999,Pharmacy,YY,PA,83,16
127,Traditional,Medicare Advantage / Part C,7/1/2019,1/31/2019,Pharmacy,YY,Ohio,85,70
128,Medicaid,EPOs,5/31/2019,12/31/9999,Pharmacy,ZZ,PA,52,42
129,Medicaid,HMO Commercial,6/15/2017,1/31/2019,clinical,AA,CT,65,16
130,HMO,Medicare Part D,5/31/2019,12/31/9999,clinical,YY,CT,65,85
131,HMO,Medicare Part D,7/1/2019,5/31/2019,Dental,Avon,Ohio,83,16
132,Medicaid,HMO Commercial,1/1/2017,12/31/9999,Dental,YY,Ohio,65,16
133,Traditional,Medicare Advantage / Part C,7/1/2019,12/31/9999,Pharmacy,YY,Ohio,32,70
134,Traditional,HMO Medical,5/31/2019,1/31/2019,Pharmacy,AA,CT,85,16
135,HMO,HMO Medical,6/15/2017,12/31/9999,Pharmacy,Avon,TX,52,70
136,Medicaid,POS,5/31/2019,5/30/2019,clinical,YY,PA,32,52
137,Traditional,HMO Medical,5/31/2019,1/31/2019,clinical,Avon,Ohio,52,42
138,Traditional,Medicare Part B,7/1/2019,12/31/9999,Pharmacy,YY,PA,150,85
139,Traditional,Medicare Part D,1/1/2018,12/31/9999,Dental,XX,PA,65,45
140,Medicaid,Medicare Part B,7/1/2019,1/31/2019,Pharmacy,Avon,CT,32,8
141,Medicare,PPO,5/31/2019,12/31/2017,Dental,YY,Ohio,12,70
142,Medicaid,HMO Medical,7/1/2019,5/30/2019,Dental,Avon,Ohio,85,52
143,Traditional,HNO,7/1/2019,12/31/9999,Pharmacy,XX,TX,150,42
144,HMO,PPO,1/1/2018,6/30/2019,Pharmacy,AA,PA,32,45
145,HMO,EPOs,1/1/2017,5/31/2019,Dental,Avon,Ohio,83,8
146,HMO,Medicaid,5/31/2019,12/31/2017,Pharmacy,AA,Ohio,150,42
147,Medicare,POS,7/1/2019,5/31/2019,Dental,YY,TX,32,45
148,Medicare,HMO Medical,1/1/2017,1/31/2019,Pharmacy,YY,TX,32,16
149,Medicare,HMO Medical,1/1/2017,12/31/9999,Pharmacy,Avon,PA,65,16
150,Traditional,Medicare Part B,5/31/2019,5/30/2019,Pharmacy,YY,TX,32,85
151,HMO,HNO,1/1/2017,5/30/2019,clinical,Avon,CT,12,45
152,HMO,EPOs,1/31/2017,1/31/2019,clinical,AA,TX,12,16
153,Medicare,Medicare Advantage / Part C,6/15/2017,12/31/9999,Pharmacy,YY,CT,85,16
154,Medicare,PPO,5/31/2019,12/31/9999,clinical,Avon,CT,83,70
155,Traditional,POS,1/1/2018,6/30/2019,Pharmacy,AA,Ohio,65,42
156,Medicare,HNO,7/1/2019,5/30/2019,clinical,YY,Ohio,32,120
157,Traditional,Medicare Part D,1/1/2017,12/31/9999,Pharmacy,Avon,CT,150,42
158,Traditional,HMO Commercial,1/1/2018,12/31/2017,Dental,AA,CT,150,31
159,Medicare,Medicare Part D,6/15/2017,5/31/2019,Pharmacy,Avon,PA,65,16
160,Medicare,POS,1/1/2017,5/30/2019,Pharmacy,AA,CT,86,42
161,Medicare,PPO,7/1/2019,12/31/9999,Dental,AA,CT,150,31
162,Traditional,PPO,6/15/2017,5/30/2019,Pharmacy,AA,CT,12,45
163,Traditional,EPOs,1/1/2017,1/31/2019,Dental,YY,CT,32,42
164,HMO,HMO Commercial,5/31/2019,5/30/2019,clinical,AA,CT,65,70
165,Medicare,POS,5/31/2019,12/31/9999,clinical,AA,Ohio,12,70
166,Traditional,HNO,6/15/2017,5/30/2019,clinical,AA,PA,52,70
167,Medicare,Medicaid,7/1/2019,1/31/2019,Pharmacy,YY,Ohio,12,16
168,Medicare,PPO,1/31/2017,12/31/9999,clinical,Avon,CT,83,16
169,HMO,EPOs,5/31/2019,12/31/9999,clinical,Avon,Ohio,65,85
170,HMO,Medicare Advantage / Part C,6/15/2017,5/31/2019,clinical,YY,Ohio,83,70
171,HMO,Medicaid,7/1/2019,5/30/2019,Pharmacy,Avon,Ohio,86,120
172,HMO,Medicare Part B,5/31/2019,5/31/2019,Dental,AA,Ohio,86,8
173,Medicare,POS,5/31/2019,5/30/2019,Dental,Avon,PA,65,8
174,Traditional,HMO Commercial,5/31/2019,1/31/2019,Pharmacy,YY,Ohio,32,85
175,Traditional,POS,1/1/2018,12/31/9999,Dental,AA,Ohio,32,31
176,Medicare,HNO,5/31/2019,12/31/2017,Dental,ZZ,Ohio,12,120
177,HMO,PPO,5/31/2019,12/31/9999,Pharmacy,ZZ,PA,86,85
178,Traditional,Medicare Part A,6/15/2017,12/31/9999,clinical,Avon,PA,83,70
179,Medicare,HMO Commercial,5/31/2019,12/31/9999,Dental,Avon,CT,65,45
180,Medicare,Medicare Part B,1/1/2017,12/31/2017,Pharmacy,YY,Ohio,83,31
181,HMO,Medicare Part B,1/1/2017,5/31/2019,clinical,Avon,PA,47,42
182,Medicare,Medicare Part B,5/31/2019,12/31/9999,clinical,AA,Ohio,47,52
183,Medicaid,Medicare Part B,1/1/2017,5/30/2019,Dental,YY,Ohio,32,70
184,Traditional,Medicare Part D,5/31/2019,5/31/2019,clinical,YY,CT,83,120
185,HMO,Medicaid,1/31/2017,12/31/2017,Pharmacy,ZZ,Ohio,47,120
186,Traditional,Medicaid,7/1/2019,5/31/2019,clinical,YY,CT,65,45
187,Traditional,HMO Medical,5/31/2019,5/31/2019,Dental,Avon,CT,65,42
188,Medicare,POS,5/31/2019,6/30/2019,Dental,Avon,Ohio,83,31
189,Traditional,Medicare Advantage / Part C,5/31/2019,5/31/2019,Dental,ZZ,PA,32,70
190,Medicare,PPO,1/1/2017,12/31/9999,clinical,YY,PA,47,70
191,HMO,Medicare Part A,1/1/2018,12/31/9999,clinical,Avon,Ohio,150,16
192,HMO,Medicare Part A,5/31/2019,1/31/2019,clinical,AA,PA,47,52
193,Medicaid,EPOs,1/31/2017,5/30/2019,clinical,Avon,PA,32,42
194,HMO,Medicare Part B,6/15/2017,12/31/9999,Dental,AA,Ohio,12,120
195,Medicare,Medicare Advantage / Part C,7/1/2019,12/31/9999,clinical,AA,CT,32,8
196,HMO,Medicare Advantage / Part C,1/1/2017,12/31/9999,Pharmacy,ZZ,Ohio,86,16
197,HMO,HMO Commercial,5/31/2019,12/31/9999,Dental,YY,PA,12,85
198,Medicare,HMO Medical,1/31/2017,6/30/2019,Pharmacy,YY,Ohio,12,31
199,HMO,EPOs,1/1/2017,12/31/9999,Pharmacy,ZZ,Ohio,83,8
200,Medicaid,PPO,5/31/2019,1/31/2019,Dental,YY,Ohio,83,52
201,Traditional,PPO,5/31/2019,12/31/9999,clinical,YY,PA,85,45
202,HMO,HNO,1/1/2017,12/31/9999,clinical,AA,Ohio,86,120
203,Medicare,Medicare Part A,6/15/2017,5/30/2019,clinical,ZZ,CT,86,8
204,HMO,HMO Commercial,7/1/2019,1/31/2019,Dental,Avon,CT,12,120
205,Medicare,HNO,6/15/2017,12/31/9999,Dental,YY,Ohio,65,120
206,Medicare,Medicare Part D,7/1/2019,12/31/9999,Pharmacy,Avon,PA,83,120
207,Traditional,Medicare Part A,7/1/2019,5/30/2019,Dental,YY,PA,85,45
208,Medicare,Medicare Part A,1/31/2017,12/31/9999,Dental,AA,PA,65,52
209,Traditional,HMO Medical,5/31/2019,1/31/2019,clinical,YY,Ohio,150,31
210,HMO,Medicare Part B,1/1/2018,12/31/9999,Pharmacy,ZZ,PA,32,120
211,Traditional,HMO Commercial,7/1/2019,5/31/2019,Pharmacy,AA,PA,83,52
212,HMO,Medicare Advantage / Part C,1/1/2017,12/31/2017,Pharmacy,AA,Ohio,85,52
213,Medicare,Medicare Part D,5/31/2019,1/31/2019,clinical,XX,Ohio,83,52
214,Medicaid,HNO,1/1/2017,12/31/9999,Dental,AA,Ohio,32,52
215,HMO,HNO,7/1/2019,6/30/2019,Dental,Avon,CT,47,31
216,Medicare,HMO Medical,6/15/2017,5/30/2019,Pharmacy,Avon,PA,32,16
217,Traditional,HNO,5/31/2019,5/31/2019,clinical,YY,Ohio,12,31
218,Medicare,Medicare Part B,1/1/2017,1/31/2019,Pharmacy,YY,Ohio,52,16
219,HMO,Medicare Advantage / Part C,5/31/2019,12/31/9999,clinical,AA,Ohio,47,42
220,Traditional,Medicare Part D,7/1/2019,12/31/9999,clinical,AA,Ohio,83,45
221,HMO,Medicare Part B,7/1/2019,1/31/2019,clinical,AA,CT,85,16
222,Traditional,Medicare Part B,1/1/2017,12/31/2017,Pharmacy,YY,TX,47,85
223,Traditional,EPOs,7/1/2019,6/30/2019,Dental,Avon,PA,52,8
224,Medicare,PPO,1/1/2018,12/31/9999,Pharmacy,AA,CT,65,85
225,Medicare,Medicare Part A,5/31/2019,12/31/9999,clinical,AA,TX,47,16
226,Medicare,HMO Commercial,5/31/2019,6/30/2019,Dental,XX,Ohio,83,16
227,Traditional,EPOs,5/31/2019,1/31/2019,clinical,AA,PA,32,52
228,Traditional,Medicare Part A,1/31/2017,12/31/2017,Dental,Avon,Ohio,32,52
229,Traditional,Medicaid,5/31/2019,12/31/2017,Pharmacy,AA,Ohio,52,31
230,HMO,Medicare Part B,5/31/2019,12/31/9999,Pharmacy,XX,Ohio,32,85
231,Medicare,Medicare Advantage / Part C,1/1/2017,6/30/2019,Pharmacy,Avon,TX,32,8
232,HMO,Medicare Part D,7/1/2019,12/31/9999,Pharmacy,AA,PA,47,16
233,Traditional,HMO Commercial,7/1/2019,12/31/9999,Pharmacy,XX,PA,12,42
234,HMO,HNO,5/31/2019,6/30/2019,clinical,Avon,Ohio,65,42
235,HMO,HMO Medical,7/1/2019,12/31/9999,Dental,ZZ,CT,83,16
236,Medicare,Medicare Part A,7/1/2019,5/30/2019,Dental,AA,Ohio,47,42
237,HMO,Medicare Part B,5/31/2019,6/30/2019,Pharmacy,XX,CT,86,16
238,Traditional,Medicare Part B,5/31/2019,12/31/9999,Pharmacy,Avon,PA,65,31
239,HMO,Medicare Advantage / Part C,5/31/2019,12/31/9999,clinical,YY,Ohio,52,70
240,HMO,HNO,5/31/2019,5/31/2019,Pharmacy,AA,PA,47,85
241,HMO,Medicare Part B,7/1/2019,12/31/9999,Dental,YY,CT,65,8
242,Medicaid,PPO,7/1/2019,5/31/2019,Dental,AA,Ohio,12,31
243,Traditional,Medicare Advantage / Part C,7/1/2019,5/30/2019,Dental,AA,Ohio,32,70
244,Medicare,Medicare Part A,1/31/2017,12/31/9999,Dental,Avon,Ohio,83,31
245,Medicare,Medicaid,7/1/2019,12/31/9999,clinical,AA,Ohio,32,120
246,Medicare,EPOs,5/31/2019,12/31/9999,Pharmacy,Avon,PA,52,70
247,Medicare,HMO Commercial,6/15/2017,12/31/9999,Pharmacy,XX,CT,150,120
248,HMO,HNO,7/1/2019,12/31/9999,Dental,Avon,CT,65,42
249,Traditional,Medicare Part B,5/31/2019,5/31/2019,Dental,YY,TX,65,16
250,Traditional,POS,1/1/2017,12/31/9999,Pharmacy,YY,PA,65,16
251,Medicare,Medicare Part B,5/31/2019,12/31/9999,Pharmacy,AA,CT,150,52
252,Medicare,Medicare Part D,7/1/2019,12/31/9999,Pharmacy,Avon,PA,47,120
253,Traditional,Medicaid,1/1/2017,12/31/9999,Pharmacy,AA,TX,65,16
254,Medicare,PPO,7/1/2019,12/31/9999,Pharmacy,YY,Ohio,83,42
255,Medicare,PPO,1/31/2017,12/31/9999,Pharmacy,AA,Ohio,12,42
256,Medicaid,POS,5/31/2019,5/31/2019,clinical,YY,Ohio,65,16
257,Medicare,HNO,1/31/2017,12/31/9999,Dental,AA,PA,32,42
258,HMO,EPOs,7/1/2019,1/31/2019,clinical,Avon,CT,86,31
259,Medicaid,EPOs,7/1/2019,12/31/9999,Pharmacy,AA,PA,52,8
260,Medicare,Medicare Part A,7/1/2019,12/31/9999,Dental,Avon,PA,52,8
261,Medicare,EPOs,5/31/2019,12/31/9999,clinical,AA,CT,83,120
262,Traditional,Medicare Part B,7/1/2019,12/31/9999,Pharmacy,AA,Ohio,86,120
263,HMO,EPOs,6/15/2017,12/31/9999,clinical,Avon,Ohio,86,42
264,Medicare,PPO,7/1/2019,12/31/9999,Pharmacy,Avon,TX,52,70
265,Traditional,Medicare Advantage / Part C,5/31/2019,12/31/9999,Dental,XX,PA,85,45
266,Medicare,EPOs,5/31/2019,12/31/9999,Pharmacy,AA,PA,86,52
267,Medicare,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,XX,TX,12,70
268,Medicare,HMO Commercial,5/31/2019,5/31/2019,Pharmacy,AA,CT,12,120
269,Medicaid,Medicare Part B,7/1/2019,12/31/9999,clinical,YY,PA,150,45
270,HMO,HMO Medical,6/15/2017,12/31/9999,clinical,XX,TX,32,42
271,HMO,Medicare Part A,6/15/2017,5/31/2019,Pharmacy,YY,Ohio,32,52
272,Medicare,HMO Medical,5/31/2019,12/31/9999,Pharmacy,AA,Ohio,83,52
273,HMO,Medicaid,7/1/2019,6/30/2019,Dental,AA,Ohio,83,85
274,Medicare,Medicare Part D,5/31/2019,5/31/2019,Pharmacy,AA,PA,52,85
275,Medicare,Medicare Advantage / Part C,1/1/2017,5/31/2019,clinical,AA,CT,12,52
276,Medicare,Medicare Advantage / Part C,5/31/2019,12/31/9999,Dental,YY,Ohio,32,70
277,Medicare,HNO,5/31/2019,6/30/2019,Pharmacy,AA,PA,52,8
278,Traditional,Medicare Part A,5/31/2019,12/31/9999,Dental,XX,CT,83,31
279,HMO,Medicaid,5/31/2019,12/31/9999,Dental,AA,PA,32,85
280,Medicare,HNO,5/31/2019,12/31/9999,Pharmacy,AA,PA,12,16
281,Traditional,HNO,5/31/2019,12/31/2017,Pharmacy,AA,CT,83,70
282,Medicare,PPO,7/1/2019,12/31/9999,clinical,Avon,CT,150,31
283,Medicare,EPOs,5/31/2019,1/31/2019,Dental,YY,Ohio,52,70
284,Traditional,PPO,5/31/2019,12/31/9999,Dental,AA,Ohio,32,70
285,Traditional,PPO,1/1/2017,6/30/2019,clinical,Avon,Ohio,150,16
286,Medicare,PPO,7/1/2019,12/31/9999,clinical,YY,Ohio,65,70
287,Medicare,Medicare Part B,5/31/2019,1/31/2019,Pharmacy,ZZ,CT,83,52
288,Medicare,HMO Commercial,7/1/2019,12/31/9999,Dental,AA,CT,65,16
289,Traditional,Medicare Part D,1/1/2017,5/31/2019,Pharmacy,Avon,Ohio,12,31
290,Traditional,Medicare Part A,5/31/2019,12/31/9999,clinical,Avon,CT,47,45
291,Medicaid,PPO,5/31/2019,12/31/9999,Pharmacy,ZZ,Ohio,12,31
292,Traditional,Medicaid,1/1/2018,12/31/9999,Pharmacy,AA,Ohio,47,8
293,HMO,Medicare Part B,5/31/2019,12/31/9999,clinical,Avon,CT,86,70
294,Medicaid,EPOs,1/1/2017,12/31/9999,Pharmacy,Avon,CT,65,85
295,HMO,PPO,1/1/2018,12/31/9999,Pharmacy,XX,Ohio,65,42
296,Medicare,Medicare Advantage / Part C,1/1/2017,5/31/2019,Dental,XX,Ohio,32,42
297,Traditional,Medicare Part D,7/1/2019,5/31/2019,clinical,YY,Ohio,86,16
298,Medicaid,PPO,5/31/2019,12/31/9999,Pharmacy,AA,CT,65,85
299,Medicaid,Medicare Advantage / Part C,1/1/2017,1/31/2019,Pharmacy,AA,Ohio,85,42
300,HMO,Medicare Part D,5/31/2019,12/31/9999,clinical,ZZ,PA,85,8
301,Traditional,Medicare Part B,6/15/2017,12/31/9999,Dental,ZZ,TX,65,16
302,Medicare,Medicaid,5/31/2019,12/31/9999,Pharmacy,Avon,Ohio,83,31
303,Traditional,Medicare Part A,5/31/2019,5/31/2019,Pharmacy,AA,Ohio,83,42
304,Medicare,Medicare Advantage / Part C,1/1/2017,5/31/2019,Dental,Avon,Ohio,85,8
305,HMO,HMO Medical,7/1/2019,12/31/9999,clinical,Avon,TX,150,8
306,Medicare,POS,7/1/2019,5/30/2019,Dental,Avon,PA,83,70
307,Medicare,Medicare Advantage / Part C,1/1/2017,12/31/9999,Pharmacy,AA,CT,83,45
308,Medicare,Medicare Part A,7/1/2019,12/31/9999,Dental,YY,CT,83,52
309,Medicare,PPO,1/31/2017,12/31/9999,Dental,AA,Ohio,52,45
310,Traditional,HNO,7/1/2019,6/30/2019,Dental,AA,Ohio,52,85
311,Traditional,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,ZZ,TX,150,70
312,Traditional,POS,7/1/2019,12/31/9999,Dental,Avon,CT,150,42
313,Medicare,HMO Medical,5/31/2019,12/31/9999,Dental,AA,Ohio,52,16
